x,y,z,yaw,velocity,change_flag
-14765.6309,-84763.5234,42.1693,2.3609,0,0
-14766.3350,-84762.8047,42.1012,2.3627,4.0716,0
-14767.1084,-84762.0469,42.0338,2.3625,6.1231,0
-14767.8926,-84761.2969,41.9880,2.3568,6.6113,0
-14768.7295,-84760.4531,41.9211,2.3511,7.3570,0
-14769.5293,-84759.6094,41.8654,2.3457,8.6206,0
-14770.4209,-84758.6875,41.7902,2.3397,10.5943,0
-14771.1484,-84757.9375,41.7295,2.3343,9.9021,0
-14771.9639,-84757.0859,41.6830,2.3287,9.9888,0
-14772.7783,-84756.2031,41.6041,2.3249,11.3667,0
-14773.6436,-84755.2656,41.5510,2.3232,11.6186,0
-14774.5078,-84754.3125,41.4858,2.3206,11.5829,0
-14775.2295,-84753.5625,41.4414,2.3185,12.4462,0
-14775.9150,-84752.7891,41.3877,2.3169,13.0317,0
-14776.6299,-84751.9922,41.3356,2.3151,13.4259,0
-14777.3545,-84751.1797,41.2892,2.3127,13.2337,0
-14778.1543,-84750.3125,41.2205,2.3121,14.1904,0
-14778.9189,-84749.4531,41.1761,2.3134,15.2840,0
-14779.7637,-84748.5312,41.1264,2.3143,14.3894,0
-14780.6582,-84747.5469,41.0725,2.3149,17.3396,0
-14781.5479,-84746.5781,41.0358,2.3144,16.6512,0
-14782.5303,-84745.4844,40.9736,2.3128,16.9747,0
-14783.2070,-84744.7422,40.9270,2.3109,18.8391,0
-14783.8828,-84743.9688,40.8905,2.3103,18.1986,0
-14784.6885,-84743.1094,40.8537,2.3081,22.0927,0
-14785.4385,-84742.3047,40.8193,2.3073,21.0398,0
-14786.3164,-84741.3516,40.7819,2.3050,25.5364,0
-14787.0439,-84740.5312,40.7556,2.3032,21.3011,0
-14787.8965,-84739.5781,40.7198,2.3012,22.1205,0
-14788.7607,-84738.6406,40.6906,2.2980,23.3431,0
-14789.5322,-84737.7344,40.6591,2.2984,21.4299,0
-14790.4258,-84736.7188,40.6222,2.2951,22.9717,0
-14791.2725,-84735.7500,40.5973,2.2934,22.8922,0
-14792.2158,-84734.6953,40.5692,2.2913,24.4294,0
-14793.1113,-84733.6719,40.5297,2.2896,25.2181,0
-14794.0303,-84732.6328,40.5100,2.2885,23.9013,0
-14794.8955,-84731.6250,40.4858,2.2880,25.3043,0
-14795.7822,-84730.5781,40.4598,2.2863,25.8200,0
-14796.7109,-84729.5078,40.4276,2.2863,25.7826,0
-14797.6455,-84728.4219,40.3987,2.2851,25.1961,0
-14798.5801,-84727.3281,40.3787,2.2842,26.2296,0
-14799.5352,-84726.2422,40.3501,2.2833,26.0233,0
-14800.4609,-84725.2031,40.3120,2.2833,25.2838,0
-14801.4033,-84724.1016,40.2800,2.2818,25.3024,0
-14802.2510,-84723.0469,40.2505,2.2814,25.1282,0
-14803.1904,-84721.9922,40.2334,2.2805,26.0403,0
-14804.0439,-84720.9688,40.2068,2.2798,24.8924,0
-14804.8984,-84719.9766,40.1725,2.2796,24.1498,0
-14805.7764,-84718.9922,40.1461,2.2772,23.7572,0
-14806.6104,-84718.0312,40.1293,2.2765,23.1400,0
-14807.3994,-84717.1016,40.0822,2.2763,21.8291,0
-14808.2266,-84716.1562,40.0687,2.2751,22.9689,0
-14808.9814,-84715.2109,40.0494,2.2748,21.0684,0
-14809.8047,-84714.2812,40.0189,2.2735,22.8532,0
-14810.5596,-84713.3516,39.9916,2.2725,21.2484,0
-14811.3506,-84712.4453,39.9734,2.2718,22.4611,0
-14812.1201,-84711.5156,39.9503,2.2700,20.6876,0
-14812.8174,-84710.6797,39.9269,2.2690,19.9375,0
-14813.5420,-84709.8203,39.9161,2.2702,19.6065,0
-14814.2441,-84708.9688,39.9162,2.2759,20.9834,0
-14814.9609,-84708.1172,39.8783,2.2835,20.0188,0
-14815.6758,-84707.3281,39.8536,2.2910,19.1981,0
-14816.3311,-84706.5547,39.8459,2.3029,17.9586,0
-14817.3301,-84705.4609,39.8233,2.3270,17.8388,0
-14818.2559,-84704.4922,39.8103,2.3727,15.6992,0
-14819.2344,-84703.6328,39.7889,2.4507,15.9917,0
-14820.2285,-84702.7734,39.7519,2.5482,16.1029,0
-14821.3359,-84702.0625,39.7335,2.6591,14.7117,0
-14822.5449,-84701.5391,39.7265,2.7823,16.9783,0
-14823.7783,-84701.1016,39.7192,2.9073,16.7034,0
-14825.0850,-84700.8047,39.6990,3.0349,15.2465,0
-14826.4277,-84700.7344,39.7059,-3.1173,16.0129,0
-14827.8584,-84700.7656,39.6948,-2.9883,16.6152,0
-14829.2754,-84701.0391,39.7113,-2.8693,17.3179,0
-14830.2705,-84701.3047,39.7073,-2.8101,18.6799,0
-14831.2920,-84701.6562,39.7045,-2.7727,19.0914,0
-14832.2930,-84701.9609,39.7169,-2.7559,17.6023,0
-14833.3027,-84702.3672,39.7239,-2.7493,20.2348,0
-14834.2461,-84702.7344,39.7272,-2.7466,18.4190,0
-14835.3105,-84703.1562,39.7312,-2.7472,20.9264,0
-14836.2930,-84703.5625,39.7415,-2.7516,20.2571,0
-14837.3018,-84703.9531,39.7440,-2.7549,18.9955,0
-14838.3789,-84704.3984,39.7704,-2.7592,21.6744,0
-14839.4473,-84704.7969,39.8017,-2.7641,19.9559,0
-14840.5527,-84705.2344,39.8212,-2.7715,21.8071,0
-14841.7051,-84705.6562,39.8081,-2.7800,22.1053,0
-14842.7715,-84706.0469,39.8165,-2.7885,20.1735,0
-14843.8809,-84706.4609,39.8462,-2.7956,19.6719,0
-14845.0400,-84706.8594,39.8504,-2.8001,22.0567,0
-14846.2383,-84707.2891,39.8741,-2.8032,23.2414,0
-14847.4268,-84707.7031,39.8950,-2.8063,25.9525,0
-14848.5342,-84708.0703,39.9207,-2.8093,21.4544,0
-14849.7812,-84708.4922,39.9283,-2.8112,22.1065,0
-14851.0088,-84708.9141,39.9475,-2.8115,25.0442,0
-14852.2217,-84709.3203,39.9735,-2.8096,22.7524,0
-14853.4639,-84709.7344,39.9918,-2.8082,23.9236,0
-14854.7344,-84710.1641,40.0218,-2.8068,22.4080,0
-14855.9834,-84710.5938,40.0381,-2.8066,22.3896,0
-14857.2090,-84711.0391,40.0665,-2.8063,23.8388,0
-14858.5146,-84711.4766,40.0838,-2.8060,24.2937,0
-14859.8291,-84711.8984,40.0969,-2.8054,26.5924,0
